X_start,y_start,X_autograd,y_autograd,X_new,y_new,X_gd_cd,y_gd_cd,X_ga,y_ga
[4. 1.],16.999999979110704,[ 7.98363890e-03 -2.31214247e-43],6.373849016525022e-05,[0.00997779 0.01186613],0.00024036117454214292,[0.0102788 0.0025697],0.00011225712416001732,[0.00517685 0.00646407],6.858391797560951e-05
[4. 2.],19.9317125105246,[7.98392761e-03 1.02979576e-13],6.374310016135035e-05,[0.00865962 0.01362736],0.00026069380709936303,[0.00945304 0.00476756],0.00011208951049773986,[-0.0458709  -0.03915845],0.0036375244738145697
[4. 3.],14.796953570542893,[3.9041481  2.94261003],14.280575255827058,[0.00725505 0.01492751],0.00027546639556945104,[3.90414716 2.94260905],14.280575255755519,[-0.02599029  0.00227627],0.0006806763560969711
[4. 4.],21.728666122846086,[3.90257311 3.90257311],20.99097456517562,[0.00656141 0.01542165],0.00028087940583274473,[3.9025716 3.9025716],20.990974565026622,[0.01861698 0.03109819],0.001313689280775192
[4. 5.],30.796953570542893,[3.89877248 4.86887932],29.78290157114838,[0.00612179 0.01569233],0.0002837256603039501,[3.89876971 4.86887261],29.78290156966291,[-0.01445745 -0.00284258],0.0002170980977727511
[ 5. -5.],39.86478701921983,[ 4.86264944 -4.86264944],38.563417284209585,[0.01019317 0.00117878],0.0001052902828995954,[ 4.86264097 -4.86264097],38.56341728090441,[-0.02954117  0.06811347],0.005512125105256603
[ 5. -4.],30.79695357054289,[ 4.86887932 -3.89877248],29.782901571148383,[0.01042928 0.00167439],0.00011157350038696607,[ 4.86887261 -3.89876971],29.782901569662904,[0.06912645 0.00154437],0.004780850979181933
[ 5. -3.],23.864787019219833,[ 4.87145662 -2.94046736],23.077296196192425,[0.01090717 0.00281802],0.0001269075455079508,[ 4.87145059 -2.94046607],23.07729619501748,[-0.00338669  0.01126379],0.00013834259716850392
[ 5. -2.],28.932166509822224,[ 8.04596953e-03 -3.23196887e-30],6.473762569281574e-05,[0.0114442  0.00527629],0.00015880904030882455,[ 0.00982762 -0.00396451],0.00011229940252267809,[0.06764665 0.00664367],0.004620208180095361
[ 5. -1.],25.999999979249584,[8.03814176e-03 2.31214247e-43],6.461172302942107e-05,[0.01143492 0.00743931],0.0001861007739327831,[ 0.01039178 -0.00207836],0.00011230862015118633,[ 0.03797786 -0.02084448],0.0018768101173179284
[5. 0.],25.0,[8.03814176e-03 1.97660011e-05],6.461211372421896e-05,[0.01100283 0.00954838],0.0002122339555289705,[0.01058071 0.        ],0.0001119515236285735,[-0.0057543  -0.00091279],3.3945149189470695e-05
[5. 1.],25.999999979249584,[ 8.03814176e-03 -2.31214247e-43],6.461172302942107e-05,[0.01020315 0.01144076],0.00023499512820838049,[0.01039178 0.00207836],0.00011230862015118633,[-0.00095491  0.01785266],0.00031962925091578846
[5. 2.],28.932166509822224,[8.04596953e-03 3.23196887e-30],6.473762569281574e-05,[0.00916191 0.01303868],0.00025394769591080546,[0.00982762 0.00396451],0.00011229940252267809,[-0.01920157 -0.09874168],0.010118620134223471
[5. 3.],23.864787019219836,[4.87145662 2.94046736],23.077296196192425,[0.00765346 0.01460119],0.000271770220444863,[4.87145059 2.94046607],23.07729619501748,[-0.01692273  0.04080139],0.0019511322309094627
